epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6315,0.90553,1.72038,1.44478,0.94655,0.94237,0.97883,0.78652,0.66631,1.80272,1.45258,0.00066055,0.00066055,0.00066055
2,163.692,0.94768,1.22744,1.46514,0.68374,0.70103,0.74049,0.37231,1.4705,2.34586,2.52019,0.00126152,0.00126152,0.00126152
3,244.392,1.02892,1.12122,1.51488,0.8323,0.81078,0.89666,0.57853,1.13622,1.84576,2.15443,0.00179649,0.00179649,0.00179649
4,324.586,0.98022,0.98515,1.46988,0.74099,0.819,0.83318,0.47167,1.28476,1.55464,2.20164,0.001703,0.001703,0.001703
5,403.43,0.92167,0.9014,1.4337,0.85075,0.8323,0.91839,0.64055,0.95643,1.23473,1.72349,0.001604,0.001604,0.001604
6,485.099,0.87893,0.80113,1.40025,0.93557,0.931,0.97452,0.78053,0.70946,0.73181,1.43664,0.001505,0.001505,0.001505
7,567.974,0.87983,0.75868,1.4008,0.96627,0.94845,0.98284,0.74792,0.85086,0.65901,1.61141,0.001406,0.001406,0.001406
8,648.306,0.84118,0.71711,1.3513,0.9311,0.93348,0.97923,0.79344,0.66424,0.68958,1.36844,0.001307,0.001307,0.001307
9,729.005,0.78735,0.64076,1.3168,0.96964,0.96837,0.99084,0.79238,0.72613,0.55893,1.45002,0.001208,0.001208,0.001208
10,810.516,0.80091,0.61735,1.337,0.96869,0.96566,0.99083,0.81881,0.63155,0.49401,1.34051,0.001109,0.001109,0.001109
11,889.857,0.60016,0.52985,1.32854,0.96405,0.97772,0.98885,0.81504,0.63803,0.52296,1.39408,0.00101,0.00101,0.00101
12,968.049,0.59161,0.46204,1.32322,0.9786,0.98236,0.9933,0.85174,0.57043,0.44292,1.29734,0.000911,0.000911,0.000911
13,1046.72,0.57014,0.41795,1.27946,0.9822,0.99015,0.99398,0.8678,0.51912,0.38785,1.22881,0.000812,0.000812,0.000812
14,1124.66,0.52531,0.40346,1.24415,0.96416,0.96132,0.98904,0.83338,0.61157,0.49273,1.29029,0.000713,0.000713,0.000713
15,1202.21,0.49946,0.36842,1.2241,0.98761,0.98634,0.99309,0.87219,0.50713,0.36008,1.2051,0.000614,0.000614,0.000614
16,1280.51,0.47672,0.34644,1.18982,0.98705,0.9903,0.99383,0.8869,0.48151,0.3341,1.1776,0.000515,0.000515,0.000515
17,1358.51,0.44954,0.33055,1.16323,0.98581,0.99443,0.99369,0.8936,0.45965,0.31126,1.14365,0.000416,0.000416,0.000416
18,1436.49,0.4436,0.30668,1.14902,0.99073,0.9935,0.99401,0.89864,0.4559,0.29538,1.13669,0.000317,0.000317,0.000317
19,1512.89,0.41874,0.28607,1.13717,0.99014,0.99413,0.99406,0.90115,0.45006,0.29101,1.12809,0.000218,0.000218,0.000218
20,1590.8,0.40732,0.28398,1.11856,0.99227,0.99134,0.99399,0.90818,0.43243,0.28241,1.11651,0.000119,0.000119,0.000119
